dataset,diffToPreviousRelease,threshold,mode,indicator,NB,LR,autogluon_best_f1,RF,KNN,SVM
JIRA-RA-2019,original,-1,default,ifap2,1,3,4,4,2,4
JIRA-RA-2019,original,-1,default,roi_tp,1,2,2,2,2,2
JIRA-RA-2019,original,-1,default,acc,1,2,2,3,2,3
JIRA-RA-2019,original,-1,default,tp,4,2,3,2,2,1
JIRA-RA-2019,original,-1,default,fp,4,3,2,2,2,1
JIRA-RA-2019,original,-1,default,tn,1,1,1,1,1,1
JIRA-RA-2019,original,-1,default,fn,1,2,2,2,2,3
JIRA-RA-2019,original,-1,default,precision,1,2,2,2,2,3
JIRA-RA-2019,original,-1,default,auc_roc,2,2,2,2,1,1
JIRA-RA-2019,#NAME?,-1,default,recall,4,2,3,2,2,1
JIRA-RA-2019,#NAME?,-1,default,f1,3,2,3,3,2,1
JIRA-RA-2019,#NAME?,-1,default,g1,3,2,3,2,2,1
JIRA-RA-2019,#NAME?,-1,default,ifap2,1,3,3,3,2,3
JIRA-RA-2019,#NAME?,-1,default,roi_tp,1,2,2,2,2,2
JIRA-RA-2019,#NAME?,-1,default,acc,1,2,2,2,2,2
JIRA-RA-2019,#NAME?,-1,default,tp,4,2,3,2,2,1
JIRA-RA-2019,#NAME?,-1,default,fp,3,2,2,2,2,1
JIRA-RA-2019,#NAME?,-1,default,tn,1,2,2,2,2,2
JIRA-RA-2019,#NAME?,-1,default,fn,1,2,2,2,2,3
JIRA-RA-2019,#NAME?,-1,default,precision,1,2,2,2,2,3
JIRA-RA-2019,#NAME?,-1,default,auc_roc,2,2,3,3,1,1
MA-SZZ-2020,original,-1,default,recall,3,2,4,5,2,1
MA-SZZ-2020,original,-1,default,f1,1,3,4,5,3,2
MA-SZZ-2020,original,-1,default,g1,3,2,4,5,2,1
MA-SZZ-2020,original,-1,default,ifap2,1,2,2,2,2,2
MA-SZZ-2020,original,-1,default,roi_tp,1,2,3,4,3,2
MA-SZZ-2020,original,-1,default,acc,1,2,3,4,2,2
