"community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3"
"./prediction_result/KNN10/JURECZKO_result/ant_1.3.csv_diffToPreviousRelease_ant_1.4.csv","./prediction","result/KNN10/JURECZKO","13","28","139","25","0.329113924050633","0.48490540721857","0.167664670658683","0.598731972682621","0.2","0.342105263157895","0.169466451055679","3","0.00113887638690488","0.336438626671139","0.0462286830566484","0.0146341463414634","0.0778232197718334","0.033747242656325",0.571382987324179,0.856620931321681,0.988618043640927
"./prediction_result/KNN10/JURECZKO_result/ant_1.4.csv_diffToPreviousRelease_ant_1.5.csv","./prediction","result/KNN10/JURECZKO","17","59","292","13","0.320754716981132","0.674135940789027","0.168091168091168","0.440917391771404","0.199475065616798","0.566666666666667","0.268638384934624","0","0","0.551185552103149","0","0","0","0",1.28519917164088,1.76974809783919,1.91075385080996
"./prediction_result/KNN10/JURECZKO_result/ant_1.5.csv_diffToPreviousRelease_ant_1.6.csv","./prediction","result/KNN10/JURECZKO","51","40","330","37","0.569832402234637","0.702567313713212","0.108108108108108","0.590754156023617","0.198689956331878","0.579545454545455","0.465492248528938","0","0","0.69710170772264","0","0","0","0",0.981026453451283,1.46823681493106,1.69159406979553
"./prediction_result/KNN10/JURECZKO_result/ant_1.6.csv_diffToPreviousRelease_ant_1.7.csv","./prediction","result/KNN10/JURECZKO","96","74","622","61","0.587155963302752","0.726114184957743","0.10632183908046","0.632142022446186","0.199296600234467","0.611464968152866","0.490042880036766","0","0","0.664659874641215","0","0","0","0",0.967290492390766,1.47086014883801,1.72271844914815
"./prediction_result/KNN10/JURECZKO_result/camel_1.csv_diffToPreviousRelease_camel_1.2.csv","./prediction","result/KNN10/JURECZKO","61","82","427","147","0.347578347578348","0.434605597964377","0.161100196463654","0.533826668164457","0.199442119944212","0.293269230769231","0.150105398065728","0","0","1.70500426391247","0","0","0","0",0.549371637384895,0.799895578606761,0.898789367614411
"./prediction_result/KNN10/JURECZKO_result/camel_1.2.csv_diffToPreviousRelease_camel_1.4.csv","./prediction","result/KNN10/JURECZKO","64","114","647","66","0.415584415584416","0.623548722273254","0.149802890932983","0.402294167424076","0.199775533108866","0.492307692307692","0.30239590272439","0","0","1.31857213011379","0","0","0","0",1.22375050938466,1.63538438115025,1.73657523965162
"./prediction_result/KNN10/JURECZKO_result/camel_1.4.csv_diffToPreviousRelease_camel_1.6.csv","./prediction","result/KNN10/JURECZKO","58","91","542","57","0.439393939393939","0.634788578813457","0.143759873617694","0.447885482986887","0.199197860962567","0.504347826086956","0.325653269139121","0","0","1.18828460596582","0","0","0","0",1.12606424017927,1.55883420830672,1.6885126741686
"./prediction_result/KNN10/JURECZKO_result/forrest_0.7.csv_diffToPreviousRelease_forrest_0.8.csv","./prediction","result/KNN10/JURECZKO","1","2","12","1","0.4","0.631578947368421","0.142857142857143","0.256821445667784","0.1875","0.5","0.302613766334401","0","0","1.35822304216635","0","0","0","0",1.94687791239515,2.25062285367988,2.27852461760977
"./prediction_result/KNN10/JURECZKO_result/jEdit_3.2.1.csv_diffToPreviousRelease_jEdit_4.csv","./prediction","result/KNN10/JURECZKO","49","48","370","22","0.583333333333333","0.775581793292266","0.114832535885167","0.733195562323254","0.198364008179959","0.690140845070423","0.508263662001545","0","0","0.688309228104984","0","0","0","0",0.941277989849795,1.48168913062129,1.80965747006577
"./prediction_result/KNN10/JURECZKO_result/jEdit_4.csv_diffToPreviousRelease_jEdit_4.1.csv","./prediction","result/KNN10/JURECZKO","58","46","402","16","0.651685393258427","0.836718581784253","0.102678571428571","0.742952963427554","0.199233716475096","0.783783783783784","0.594790824363086","0","0","0.538502594554119","0","0","0","0",1.05495747694156,1.66375475370713,2.0372024791986
"./prediction_result/KNN10/JURECZKO_result/jEdit_4.1.csv_diffToPreviousRelease_jEdit_4.2.csv","./prediction","result/KNN10/JURECZKO","35","105","552","11","0.376344086021505","0.798561597123194","0.159817351598174","0.676389995630157","0.199146514935989","0.760869565217391","0.37218218937874","0","0","0.256082067224011","0","0","0","0",1.12489772192525,1.73806473181887,2.07312395353088
