"community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3"
"./prediction_result/KNN1/JURECZKO_result/poi_2.5.1.csv_poi_3.csv","./prediction","result/KNN1/JURECZKO","158","69","181","123","0.622047244094488","0.632972189329467","0.276","0.662657378315349","0.427495291902072","0.562277580071174","0.288842291201178","0","0","1.19427104552144","0","0","0","0",1.03155749727978,1.05642964586492
"./prediction_result/KNN1/JURECZKO_result/synapse_1.csv_synapse_1.1.csv","./prediction","result/KNN1/JURECZKO","13","15","155","47","0.295454545454545","0.3501303214596","0.0882352941176471","0.240941525345195","0.121739130434783","0.216666666666667","0.172471169945527","1","9.46843786891653e-05","1.08831397354348","0.0130626165927323","0.00434782608695652","0.021777407098508","0.00973058984281864",1.19480685398401,1.26508928256354
"./prediction_result/KNN1/JURECZKO_result/synapse_1.1.csv_synapse_1.2.csv","./prediction","result/KNN1/JURECZKO","26","26","157","60","0.376811594202899","0.447097480832421","0.14207650273224","0.36960569550931","0.193308550185874","0.302325581395349","0.189251257112636","0","0","1.063459114444","0","0","0","0",1.07414436108997,1.13104539907808
"./prediction_result/KNN1/JURECZKO_result/velocity_1.4.csv_velocity_1.5.csv","./prediction","result/KNN1/JURECZKO","122","81","23","20","0.707246376811594","0.351761313777109","0.778846153846154","0.559450134180404","0.82520325203252","0.859154929577465","0.104457974518579","0","0","2.61501721391779","0","0","0","0",1.24096750584965,1.26447523993123
"./prediction_result/KNN1/JURECZKO_result/velocity_1.5.csv_velocity_1.6.1.csv","./prediction","result/KNN1/JURECZKO","66","83","100","12","0.581497797356828","0.664050709326894","0.453551912568306","0.850372111241676","0.57088122605364","0.846153846153846","0.363097396449062","0","0","0.858822424102421","0","0","0","0",1.19071501744242,1.21442849264512
"./prediction_result/KNN1/JURECZKO_result/xalan_2.4.0.csv_xalan_2.5.0.csv","./prediction","result/KNN1/JURECZKO","78","44","514","309","0.306483300589391","0.330734773677828","0.0788530465949821","0.43660447311118","0.129100529100529","0.201550387596899","0.17994007625273","0","0","0.331656422192368","0","0","0","0",0.712563568675926,0.848937144493702
"./prediction_result/KNN1/JURECZKO_result/xalan_2.5.0.csv_xalan_2.6.0.csv","./prediction","result/KNN1/JURECZKO","275","221","538","136","0.606394707828004","0.688390877599496","0.291172595520422","0.603033875214411","0.423931623931624","0.669099756690998","0.365072498126344","0","0","0.784465062532565","0","0","0","0",1.30306180148677,1.32334204180628
"./prediction_result/KNN1/JURECZKO_result/xalan_2.6.0.csv_xalan_2.7.0.csv","./prediction","result/KNN1/JURECZKO","390","12","284","508","0.6","0.597939925284502","0.0405405405405405","0.777526015630818","0.336683417085427","0.434298440979955","0.359780554820208","0","0","0.66034368850545","0","0","0","0",0.779563389480939,0.848828479929488
"./prediction_result/KNN1/JURECZKO_result/xerces_1.csv_xerces_1.2.0.csv","./prediction","result/KNN1/JURECZKO","53","191","253","18","0.336507936507936","0.646294734305338","0.43018018018018","0.506451477325264","0.47378640776699","0.746478873239437","0.218392891439632","0","0","0.318930360126791","0","0","0","0",1.523056565334,1.52390291948845
"./prediction_result/KNN1/JURECZKO_result/xerces_1.2.0.csv_xerces_1.3.0.csv","./prediction","result/KNN1/JURECZKO","13","58","418","56","0.185714285714286","0.310248358549814","0.121848739495798","0.267498783155516","0.130275229357798","0.188405797101449","0.0657512162467414","0","0","0.201608224311198","0","0","0","0",0.94730068418003,1.00925854003533
"./prediction_result/KNN1/JURECZKO_result/xerces_1.3.0.csv_xerces_1.4.4.csv","./prediction","result/KNN1/JURECZKO","68","6","228","369","0.26614481409002","0.268356007892824","0.0256410256410256","0.251904233144371","0.110283159463487","0.155606407322654","0.19773033780848","0","0","1.01878681262019","0","0","0","0",0.859259104532828,0.933587746978286
